geometry,theory,N,box_kpc,dx_kpc,smoothing_kpc,q_floor_fraction,contrast,argmax_x,argmax_y,gas,galaxy_mean
baseline,Newtonian,96,3000.0,31.25,50,9.04224537037037e-06,1.0282107813187165,-500.0,0.0,271858386.9238385,279527724.4270059
baseline,QUMOND,96,3000.0,31.25,50,9.04224537037037e-06,0.8602038679125305,0.0,0.0,541583682.4495416,465872378.44140726
baseline,Newtonian,96,3000.0,31.25,100,9.04224537037037e-06,0.5359020236922591,0.0,0.0,216726506.76083204,116144173.56088398
baseline,QUMOND,96,3000.0,31.25,100,9.04224537037037e-06,0.5428444268287625,0.0,0.0,429340042.89131117,233064849.49797016
baseline,Newtonian,96,3000.0,31.25,150,9.04224537037037e-06,0.43947073362556605,0.0,0.0,167582263.3783028,73647500.22949557
baseline,QUMOND,96,3000.0,31.25,150,9.04224537037037e-06,0.48546030505998844,0.0,0.0,341147773.08457434,165613701.99217317
baseline,Newtonian,96,3000.0,31.25,250,9.04224537037037e-06,0.48565234697019516,0.0,0.0,106525627.88333496,51734421.19401529
baseline,QUMOND,96,3000.0,31.25,250,9.04224537037037e-06,0.5410105180079696,0.0,0.0,230718580.14899248,124821178.56046969
baseline,Newtonian,128,3000.0,23.4375,50,3.814697265625e-06,1.0221294757304855,-492.1875,0.0,271849760.05171734,277865652.71912014
baseline,QUMOND,128,3000.0,23.4375,50,3.814697265625e-06,0.8567265259480531,0.0,0.0,541583798.2467998,463989205.98173213
baseline,Newtonian,128,3000.0,23.4375,100,3.814697265625e-06,0.5395015287746051,0.0,0.0,216732149.15783432,116927325.80525737
baseline,QUMOND,128,3000.0,23.4375,100,3.814697265625e-06,0.5452321039468555,0.0,0.0,429358749.69328207,234100174.44325948
baseline,Newtonian,128,3000.0,23.4375,150,3.814697265625e-06,0.44632094593741317,0.0,0.0,167577937.25877872,74793543.47557859
baseline,QUMOND,128,3000.0,23.4375,150,3.814697265625e-06,0.49138522335646856,0.0,0.0,341149731.6123126,167635937.06631553
baseline,Newtonian,128,3000.0,23.4375,250,3.814697265625e-06,0.49563466323196936,0.0,0.0,106519549.99038391,52794781.28710485
baseline,QUMOND,128,3000.0,23.4375,250,3.814697265625e-06,0.5502777895663717,0.0,0.0,230714959.7345799,126957318.06263909
baseline,Newtonian,128,4500.0,35.15625,50,3.814697265625e-06,1.0272514056596989,-492.1875,0.0,271983001.3435773,279394920.44573355
baseline,QUMOND,128,4500.0,35.15625,50,3.814697265625e-06,0.8706965938212015,0.0,0.0,559287957.0917146,486970119.2049742
baseline,Newtonian,128,4500.0,35.15625,100,3.814697265625e-06,0.5410147038800215,0.0,0.0,216867993.07281142,117328773.05334163
baseline,QUMOND,128,4500.0,35.15625,100,3.814697265625e-06,0.5717688179404679,0.0,0.0,448265804.57429254,256304409.20457602
baseline,Newtonian,128,4500.0,35.15625,150,3.814697265625e-06,0.44736184404023915,0.0,0.0,167711278.54895225,75027626.83800548
baseline,QUMOND,128,4500.0,35.15625,150,3.814697265625e-06,0.5262514955683234,0.0,0.0,361005419.5075165,189979641.92410055
baseline,Newtonian,128,4500.0,35.15625,250,3.814697265625e-06,0.4963852723655656,0.0,0.0,106659797.84892371,52944352.80569417
baseline,QUMOND,128,4500.0,35.15625,250,3.814697265625e-06,0.5946962741922716,0.0,0.0,251990783.5299967,149857980.09608027
baseline,Newtonian,128,6000.0,46.875,50,3.814697265625e-06,1.0175280776751845,-515.625,0.0,272009599.8158168,276777405.2097843
baseline,QUMOND,128,6000.0,46.875,50,3.814697265625e-06,0.8670612802754064,0.0,0.0,567218090.1390687,491812843.4313518
baseline,Newtonian,128,6000.0,46.875,100,3.814697265625e-06,0.5285890748055337,0.0,0.0,216877794.19963074,114639232.58184776
baseline,QUMOND,128,6000.0,46.875,100,3.814697265625e-06,0.5756382028980676,0.0,0.0,456787180.3224766,262944151.58770597
baseline,Newtonian,128,6000.0,46.875,150,3.814697265625e-06,0.4280828716982209,0.0,0.0,167731386.6345666,71802933.66444986
baseline,QUMOND,128,6000.0,46.875,150,3.814697265625e-06,0.5263006180497051,0.0,0.0,369957782.42769575,194709009.5439946
baseline,Newtonian,128,6000.0,46.875,250,3.814697265625e-06,0.4679005134299962,0.0,0.0,106716854.58603641,49932871.05244069
baseline,QUMOND,128,6000.0,46.875,250,3.814697265625e-06,0.5901179655533485,0.0,0.0,261680171.66675672,154422170.52963746
baseline,Newtonian,160,6000.0,37.5,50,1.953125e-06,1.018779592082684,-487.5,0.0,272013057.1988488,277121351.454207
baseline,QUMOND,160,6000.0,37.5,50,1.953125e-06,0.8710268623796372,0.0,0.0,567375212.696815,494199051.3072861
baseline,Newtonian,160,6000.0,37.5,100,1.953125e-06,0.5428743094440592,0.0,0.0,216880098.42720342,117738633.66582766
baseline,QUMOND,160,6000.0,37.5,100,1.953125e-06,0.5847089367971013,0.0,0.0,456844726.07498956,267121194.06467015
baseline,Newtonian,160,6000.0,37.5,150,1.953125e-06,0.45167121234488516,0.0,0.0,167733887.07986364,75760568.12868208
baseline,QUMOND,160,6000.0,37.5,150,1.953125e-06,0.544849594654342,0.0,0.0,370015238.90575695,201602652.9337312
baseline,Newtonian,160,6000.0,37.5,250,1.953125e-06,0.5026347239381186,0.0,0.0,106680366.4023822,53621256.516278714
baseline,QUMOND,160,6000.0,37.5,250,1.953125e-06,0.6179421736113212,0.0,0.0,261663754.5564414,161693069.24590665
favorable,Newtonian,96,3000.0,31.25,50,9.04224537037037e-06,2.307627416177224,-281.25,0.0,320863661.57661724,740433782.3092124
favorable,QUMOND,96,3000.0,31.25,50,9.04224537037037e-06,1.8705652214883186,-281.25,0.0,535017603.79355335,1000785322.5402377
favorable,Newtonian,96,3000.0,31.25,100,9.04224537037037e-06,1.3111804150201076,-281.25,0.0,305587090.6711841,400679808.37103045
favorable,QUMOND,96,3000.0,31.25,100,9.04224537037037e-06,1.1953275631491485,-250.0,0.0,494303912.10309315,590855090.7092812
favorable,Newtonian,96,3000.0,31.25,150,9.04224537037037e-06,0.9560263606074401,-187.5,0.0,293883295.15890604,280960177.11409104
favorable,QUMOND,96,3000.0,31.25,150,9.04224537037037e-06,0.9333914790839992,-187.5,0.0,466816486.366414,435722530.67034274
favorable,Newtonian,96,3000.0,31.25,250,9.04224537037037e-06,0.8056976310111122,0.0,0.0,231854321.1710964,186804477.30724195
favorable,QUMOND,96,3000.0,31.25,250,9.04224537037037e-06,0.8160185505459581,0.0,0.0,370454232.43921566,302297525.7986642
favorable,Newtonian,128,3000.0,23.4375,50,3.814697265625e-06,2.3471859114234452,-304.6875,0.0,320864027.2341429,753127524.2065688
favorable,QUMOND,128,3000.0,23.4375,50,3.814697265625e-06,1.9016471582056074,-304.6875,0.0,535102128.68196154,1017575442.3578234
favorable,Newtonian,128,3000.0,23.4375,100,3.814697265625e-06,1.3283804356450577,-257.8125,0.0,305592839.3902034,405943549.1191686
favorable,QUMOND,128,3000.0,23.4375,100,3.814697265625e-06,1.2099645367263372,257.8125,0.0,494321973.4652668,598112057.6175504
favorable,Newtonian,128,3000.0,23.4375,150,3.814697265625e-06,0.9685140741891748,-187.5,0.0,293876851.18560183,284623866.45165306
favorable,QUMOND,128,3000.0,23.4375,150,3.814697265625e-06,0.9446004266870054,164.0625,0.0,466813801.19444954,440952515.79165995
favorable,Newtonian,128,3000.0,23.4375,250,3.814697265625e-06,0.8152733644060133,0.0,0.0,231852898.24754584,189023492.40156177
favorable,QUMOND,128,3000.0,23.4375,250,3.814697265625e-06,0.8250530134029164,0.0,0.0,370454374.342653,305644497.87969786
favorable,Newtonian,128,4500.0,35.15625,50,3.814697265625e-06,2.2753385559155506,-281.25,0.0,321851206.9561099,732320460.4551921
